"Priority","Category","Count","Rule","EventIDs","TopProcesses","TopParents","CommandLineExamples","TargetExamples","MITRE_ID","MITRE_Technique","NormalBehaviorHypothesis","NextCheck"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\CDPUserSvc_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\CDPUserSvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\DeviceAssociationBrokerSvc_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k DevicesFlow -p","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\DeviceAssociationBrokerSvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Turn off Windows Customer Experience Improvement Program' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Enumeration policy for external devices incompatible with Kernel DMA Protection' is set to 'Enabled: Block All'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Allow Clipboard synchronization across devices' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Domain member: Digitally sign secure channel data (when possible)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Do not allow anonymous enumeration of SAM accounts and shares' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Do not allow storage of passwords and credentials for network authentication' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft network server: Amount of idle time required before suspending session' is set to '15 or fewer minute(s)'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft network server: Digitally sign communications (if client agrees)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft network server: Server SPN target name validation level' is set to 'Accept if provided by client' or higher.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Named Pipes that can be accessed anonymously' is set to 'None'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Sharing and security model for local accounts' is set to 'Classic - local users authenticate as themselves'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network Security: Allow PKU2U authentication requests to this computer to use online identities' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network security: Do not store LAN Manager hash value on next password change' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Remotely accessible registry paths and sub-paths' is configured.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Restrict anonymous access to Named Pipes and Shares' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Network access: Restrict clients allowed to make remote calls to SAM' is set to 'Administrators: Remote Access: Allow'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\cbdhsvc_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k ClipboardSvcGroup -p","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\cbdhsvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\ConsentUxUserSvc_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k DevicesFlow","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\ConsentUxUserSvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\CredentialEnrollmentManagerUserSvc_50027\\Description binary is: @%%SystemRoot%%\\system32\\CredentialEnrollmentManager.exe,-101","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\CredentialEnrollmentManagerUserSvc_50027\\Description","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Configure 'Interactive logon: Message text for users attempting to log on'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Configure 'Interactive logon: Message title for users attempting to log on'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\DevicePickerUserSvc_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k DevicesFlow","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\DevicePickerUserSvc_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Executable file dropped in folder commonly used by malware","11:1","C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe (1)","","","C:\\Users\\win10pro\\AppData\\Local\\Temp\\__PSScriptPolicyTest_jcfxotul.slq.ps1","T1105","Ingress Tool Transfer","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft network client: Digitally sign communications (always)' is set to 'Enabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","SCA / Wazuh内部チェック","1","CIS Microsoft Windows 10 Enterprise Benchmark v1.12.0: Ensure 'Microsoft network client: Send unencrypted password to third-party SMB servers' is set to 'Disabled'.",":1","","","","","","","Wazuhエージェントによる設定監査・ベンチマーク評価・レポート生成","復元対象としては優先度低。Wazuh自身の正常動作としてまとめる"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\MessagingService_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\MessagingService_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Evidence of new service creation found in registry under HKLM\\System\\CurrentControlSet\\Services\\WpnUserService_50027\\ImagePath binary is: C:\\Windows\\system32\\svchost.exe -k UnistackSvcGroup","13:1","C:\\Windows\\system32\\services.exe (1)","","","HKLM\\System\\CurrentControlSet\\Services\\WpnUserService_50027\\ImagePath","T1543.003","Windows Service","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
"C","その他","1","Explorer process was accessed by C:\\Users\\win10pro\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe, possible process injection","10:1","C:\\Users\\win10pro\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe (1)","","","","T1055","Process Injection","要確認","代表1件を選び、前後30分のSysmon/Securityを確認"
